OID,Country or Area,Year,Description,Magnitude,Value
11066..IZF...,ADVANCED ECONOMIES,2009,INDUSTRIAL PRODUCTION,INDEX NUMBER,89.7444
11066..IZF...,ADVANCED ECONOMIES,2008,INDUSTRIAL PRODUCTION,INDEX NUMBER,103.535
11066..IZF...,ADVANCED ECONOMIES,2007,INDUSTRIAL PRODUCTION,INDEX NUMBER,105.672
11066..IZF...,ADVANCED ECONOMIES,2006,INDUSTRIAL PRODUCTION,INDEX NUMBER,103.052
11066..IZF...,ADVANCED ECONOMIES,2005,INDUSTRIAL PRODUCTION,INDEX NUMBER,100
11066..IZF...,ADVANCED ECONOMIES,2004,INDUSTRIAL PRODUCTION,INDEX NUMBER,98.0221
11066..IZF...,ADVANCED ECONOMIES,2003,INDUSTRIAL PRODUCTION,INDEX NUMBER,95.2705
11066..IZF...,ADVANCED ECONOMIES,2002,INDUSTRIAL PRODUCTION,INDEX NUMBER,93.9665
11066..IZF...,ADVANCED ECONOMIES,2001,INDUSTRIAL PRODUCTION,INDEX NUMBER,94.1862
11066..IZF...,ADVANCED ECONOMIES,2000,INDUSTRIAL PRODUCTION,INDEX NUMBER,96.9366
11066..IZF...,ADVANCED ECONOMIES,1999,INDUSTRIAL PRODUCTION,INDEX NUMBER,92.2293
11066..IZF...,ADVANCED ECONOMIES,1998,INDUSTRIAL PRODUCTION,INDEX NUMBER,89.4228
11066..IZF...,ADVANCED ECONOMIES,1997,INDUSTRIAL PRODUCTION,INDEX NUMBER,88.4714
11066..IZF...,ADVANCED ECONOMIES,1996,INDUSTRIAL PRODUCTION,INDEX NUMBER,84.5092
11066..IZF...,ADVANCED ECONOMIES,1995,INDUSTRIAL PRODUCTION,INDEX NUMBER,82.4991
11066..IZF...,ADVANCED ECONOMIES,1994,INDUSTRIAL PRODUCTION,INDEX NUMBER,79.6164
11066..IZF...,ADVANCED ECONOMIES,1993,INDUSTRIAL PRODUCTION,INDEX NUMBER,76.3978
11066..IZF...,ADVANCED ECONOMIES,1992,INDUSTRIAL PRODUCTION,INDEX NUMBER,77.1715
11066..IZF...,ADVANCED ECONOMIES,1991,INDUSTRIAL PRODUCTION,INDEX NUMBER,77.8287
11066..IZF...,ADVANCED ECONOMIES,1990,INDUSTRIAL PRODUCTION,INDEX NUMBER,77.7677
11066..IZF...,ADVANCED ECONOMIES,1989,INDUSTRIAL PRODUCTION,INDEX NUMBER,76.0569
11066..IZF...,ADVANCED ECONOMIES,1988,INDUSTRIAL PRODUCTION,INDEX NUMBER,73.5946
11066..IZF...,ADVANCED ECONOMIES,1987,INDUSTRIAL PRODUCTION,INDEX NUMBER,69.5528
11066..IZF...,ADVANCED ECONOMIES,1986,INDUSTRIAL PRODUCTION,INDEX NUMBER,66.9831
11066..IZF...,ADVANCED ECONOMIES,1985,INDUSTRIAL PRODUCTION,INDEX NUMBER,66.0009
11066..IZF...,ADVANCED ECONOMIES,1984,INDUSTRIAL PRODUCTION,INDEX NUMBER,64.3845
11066..IZF...,ADVANCED ECONOMIES,1983,INDUSTRIAL PRODUCTION,INDEX NUMBER,60.2546
11066..IZF...,ADVANCED ECONOMIES,1982,INDUSTRIAL PRODUCTION,INDEX NUMBER,59.0949
11066..IZF...,ADVANCED ECONOMIES,1981,INDUSTRIAL PRODUCTION,INDEX NUMBER,60.6021
11066..IZF...,ADVANCED ECONOMIES,1980,INDUSTRIAL PRODUCTION,INDEX NUMBER,60.7192
11066..IZF...,ADVANCED ECONOMIES,1979,INDUSTRIAL PRODUCTION,INDEX NUMBER,60.8808
11066..IZF...,ADVANCED ECONOMIES,1978,INDUSTRIAL PRODUCTION,INDEX NUMBER,58.2912
11066..IZF...,ADVANCED ECONOMIES,1977,INDUSTRIAL PRODUCTION,INDEX NUMBER,56.3773
11066..IZF...,ADVANCED ECONOMIES,1976,INDUSTRIAL PRODUCTION,INDEX NUMBER,53.9446
11066..IZF...,ADVANCED ECONOMIES,1975,INDUSTRIAL PRODUCTION,INDEX NUMBER,50.102
11066..IZF...,ADVANCED ECONOMIES,1974,INDUSTRIAL PRODUCTION,INDEX NUMBER,54.6257
